claim_id,claim,classification,label
92,US Sen Kamala Harris failed the bar exam  (qualifying examination for lawyers)on her first attempt,Refuted,Supported
93,US Judge Amy Coney Barrett graduated at the top of her law school class at Notre Dame Law School,Refuted,Supported
94,"Saved by the Bell actor, Dustin Diamond died in a prison riot.",Supported,Refuted
95,Controversial abortion methods are allowed under New Zealand's Abortion Legislation Act (2020).,Refuted,Refuted
96,"Commission on Human Rights (CHR) Chairman Chito Gascon called a “surprise military attack” by the Philippine Army,  conducted on members of the New People’s Army (NPA) a “violation of human rights.”",Supported,Refuted
97,IMAGE CLAIMS DONALD TRUMP CURRENTLY FACES A COURT CASE FOR ALLEGEDLY SEXUALLY ASSAULTING A 13-YEAR-OLD,Refuted,Refuted
98,The iPhone 12 won’t come with earphones and a charging adapter.,Supported,Supported
99,New Zealand's Abortion Legislation Act (2020) does not make it a legal requirement that babies born alive after an abortion are given medical support.,Refuted,Refuted
100,"US president Joe Biden (candidate at the time of claim) supports the new green deal (The Green New Deal is a nonbinding resolution, introduced by Rep. Alexandria Ocasio-Cortez and Sen. Ed Markey last year, to tackle climate change.)",Refuted,Conflicting Evidence/Cherrypicking
101,"The Tanishq jewellery store in Gandhidham,  Gujarat, India was attacked following a negative reaction to an advertisement.","<question>
What was the reason behind the Tanishq jewellery store in Gandhidham, Gujarat, India being attacked?
<answer>
The Tanishq store was vandalised and the manager was forced to write an apology note after a complaint was lodged by a local Muslim organisation following an uproar on social media over an ad that celebrated interfaith relations.

<question>
What was the reason behind the Tanishq jewellery store in Gandhidham, Gujarat, India being attacked?
<answer>
The Tanishq jewellery store in Gandhidham, Gujarat, India was attacked following a negative reaction to an advertisement.

label:",Conflicting Evidence/Cherrypicking
102,Kanye West was ahead of Biden and Trump in the Kentucky polls in October 2020,Refuted,Refuted
103,"Former President Donald Trump who lost the popular vote by 3 million has nominated a full third of The United Supreme Court, as of 13th October 2020.",Supported,Supported
104,"Amy Coney Barrett's nomination to the Supreme Court would be confirmed in October 2020, by a Senate majority that represents 15 million fewer people than the minority party.",Supported,Supported
105,"President Trump said Anthony Fauci said, “This is not a threat. This is not a problem. Don’t worry about it.” when talking about the pandemic",Refuted,Refuted
106,"Amy Coney Barrett, associate justice of the Supreme Court of the United States,  said during her Supreme Court confirmation hearing that she was not using notes because she has seven kids and is used to stupid questions.",Refuted,Refuted
107,Anthony Fauci the NIAID director is a democrat.,Supported,Refuted
108,CNN announces on social media that President Donald Trump dies from COVID-19.,Refuted,Refuted
109,18-year-old man was recently killed by Trinamool Congress workers in West Bengal for supporting BJP,"<question>
Is there any news about 18 year old man being killed by Trinamool Congress workers in West Bengal for supporting BJP?
<answer>
Yes

<question>
What is the source of the claim?
<answer>
The claim appears to be based on an article from the website of the Indian Express. The article does not mention the name of the 18-year-old man who was killed. The article also does not mention the name of the BJP worker who was killed.

label:",Refuted
110,Fact check: Harris' statement on Lincoln's Supreme Court nomination misses key details,"<question>
What was the first woman to serve on the supreme court?
<answer>
No, Kamala Harris was not the first woman to serve on the supreme court.

<question>
Is there a history of the US supreme court having a vacancy?
<answer>
Yes, the supreme court has had vacancies on multiple occasions, including during the time of Lincoln.

<question>
What is the Maine Supreme Judicial Court’s policy regarding the settlement of municipal charges?
<answer>
The Maine Supreme Judicial Court’s policy is that it will not order a penalty or elimination of a violation because of one or more of the factors listed in Section 4452. Rather, the court will decide whether to settle for less in a consent agreement before",Supported
111,Daughters of President Muhammadu Buhari and Vice President Yemi Osinbajo brought about the dissolution of Special Anti-Robbery Squad (SARS).,Refuted,Refuted
112,The Median White Household Wealth In The US Is 81 Times that of The Black Median Household Wealth,Supported,Refuted
113,Congress MP Rahul Gandhi has been listed as the seventh most educated leader by Forbes.,"<question>
Where was Rahul Gandhi ranked by Forbes?
<answer>
As the seventh most educated leader.
<question>
What is the current ranking of the 20 most educated leaders in the world
<answer>
Forbes' list of the 20 Most Educated Leaders in the World was released on Wednesday. The list was compiled based on the education levels of the leaders of the world's most powerful countries.
<question>
Where is Rahul Gandhi ranked on Forbes list of the worlds most educated leaders?
<answer>
In 2019, Rahul Gandhi was ranked 7th on Forbes list of the worlds most educated leaders

label:",Supported
114,Donald Trump is facing a court case for raping a teen in 1994,Refuted,Refuted
115,More people who wear masks become sick with COVID-19 compared to non-mask wearers,Refuted,Conflicting Evidence/Cherrypicking
116,"Joe Biden said “You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!”",Refuted,Refuted
117,NASA always receives blessings from the Pope and that God’s permission must be sought before a space mission.,Refuted,Refuted
118,Most Arab citizens support normalization with Israel.,"<question>
What percentage of Arab citizens support normalization with Israel?
<answer>
Most Arab citizens support normalization with Israel
<question>
How many Arabs support normalization with Israel?
<answer>
The Egyptian president, Abdel Fattah el-Sisi, said that the Egyptian people are not against normalization with Israel and that Egypt will not be opposed to any country normalizing relations with Israel.
<question>
How do many arab citizens view normalisation with Israel?
<answer>
Normalization is viewed as a betrayal of the Palestinian cause and a legitimation of Israel's presence in the region.

label:",Refuted
119,The PHE has began to combine Covid-19 and influenza statistics to make the numbers look worse.,Refuted,Refuted
120,A law called The Flora and Fauna Act classified aboriginal people as animals until Australian voters overturned it in the 1960s.,Refuted,Refuted
121,"Robert E. Lee, commander of the Confederate States Army during the American Civil War, was not a slave owner.",Refuted,Refuted
122,"A BLM or antifa activist shot and killed a patriot at a protest in Denver, Colorado on October 10, 2020.",Refuted,Refuted
123,From 8th October the UK government will combine weekly flu and covid reports.,Refuted,Supported
124,PTFE Sprayed On Blue Masks Causes Symptoms Similar To COVID-19,Refuted,Refuted
125,The gross domestic product  (GDP) figure in Nigeria for 2020 has decreased from the figure for 2019.,"<question>
What was the GDP of Nigeria in 2019?
<answer>
The gross domestic product (GDP) of Nigeria was estimated at 2.54 trillion naira in 2019, up from 2.23 trillion naira in 2018.

<question>
Is Nigeria's GDP for 2020 less than the figure for 2019?
<answer>
Yes

label:",Supported
126,"Ulysses S. Grant, commander of the Union Army during the American Civil War, was a slave owner.",Supported,Supported
127,"Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",Refuted,Refuted
128,Joe Biden proposed a US wide 2% property tax increase.,"<question>
How much tax did Joe Biden propose in 2020?
<answer>
Joe Biden proposed a 2% tax on property.

<question>
Did Joe Biden propose a 2% property tax increase in the US?
<answer>
Joe Biden did not propose a 2% property tax increase in the US.

<question>
What is the proposed US tax rate increase under Joe Biden's plan?
<answer>
Mr Biden proposes a corporate tax rate of 28%.

<question>
What was the percentage of property tax that Joe Biden proposed in 2020?
<answer>
Joe Biden proposed a 2% tax on property.

<question>
Did Joe Biden propose a 2% property tax increase in the",Refuted
129,US Democratic presidential nominee Joe Biden was endorsed by Black Lives Matter and Antifa,Supported,Refuted
130,"Kirron Kher, BJP’s Chandigarh MP, said “Rape is part of Indian culture and tradition. We cannot stop it!”",Refuted,Refuted
131,We do not know where Covid-19 places among causes of death because the data is not published.,"<question>
How many deaths from COVID-19 were reported in the UK in 2020?
<answer>
1,626 deaths

<question>
How many deaths from COVID-19 were reported in the UK in 2020?
<answer>
1,626 deaths

<question>
Is Covid-19 more likely to kill people of colour?
<answer>
The available evidence does not support the claim that the risk of death from covid19 is higher in bame communities than in white communities.

label:",Refuted
132,Swiss Squash player Ambre Allinckx’s refuses to play in India due to safety reasons,Refuted,Refuted
133,"Labour reversed the 4,400 health health worker cuts by the LNP.",Refuted,Supported
134,"WHO ( World Health Organization) approved water, salt and vinegar remedy for coronavirus",Refuted,Refuted
135,No one lost their health care because of the Wellmark and Iowa Farm Bureau Health Plan Bill.,Supported,Not Enough Evidence
136,Forty percent of Iowa’s energy resources are from renewables.,Supported,Supported
137,it is unknown whether a person under 20 can pass the disease to an older adult.,Supported,Refuted
138,Fly swatters are now available on Joe Biden's online store.,"<question>
What are the items available on Joe Biden's online store?
<answer>
A variety of items, including mugs, t-shirts, and other merchandise are available on the Joe Biden campaign website store.
<question>
Did Joe Biden sell fly swatters?
<answer>
Yes, the Biden campaign started selling fly swatters within minutes of viral Pence moment and they sold out overnight
<question>
When was the fly swatter added to Joe Biden's online store?
<answer>
Thursday, October 22, 2020

label:",Supported
139,A campaign ad video for John Cornyn says that his plan would guarantee insurers must sell plans to any patient with preexisting conditions and will be covered in his plan.,Refuted,Refuted
140,Charlotta Bass was the first Black woman to run for vice president in 1952,Refuted,Supported
141,"China seek for court’s approval to kill the over 20,000 coronavirus patients to avoid further spread of the virus.",Refuted,Refuted
142,"The CDC has said over 98,000 people had non-COVID related deaths because of hospitals that were closed down for non-essential services",Refuted,Not Enough Evidence
143,"New Zealand spends less on pensions than most wealthy countries, spending 4.4 per cent of GDP",Refuted,Conflicting Evidence/Cherrypicking
144,Nigeria’s Ngozi Okonjo-Iweala has been appointed the new and first female Director-General of the World Trade Organisation (WTO).,Refuted,Supported
145,"When Joe Biden was US vice-president they took a month to act on information that might have saved Kayla Mueller, a humanitarian worker held hostage and sexually abused by the Islamic State terrorist group",Supported,Supported
146,"Right after a time where we're going through a pandemic that lost 22 million jobs at the height, we've already added back 11.6 million jobs.",Supported,Supported
147,"Because of a so-called trade war with China, America lost 300,000 manufacturing jobs.","<question>
Did the United States lose 300,000 manufacturing jobs due to the trade deficit with China?
<answer>
...an estimated 03 percentage point in us real gdp and almost 300000 jobs the number is a moving target because its unclear how trumps posture with china will turn out while the obamabiden record has been written but that was the estimate as of
<question>
How many jobs were lost due to the trade war with China?
<answer>
...an estimated 03 percentage point in us real gdp and almost 300000 jobs the number is a moving target because its unclear how trumps posture with china will turn out while the obamabiden record has been written but that",Supported
148,U.S. President Donald Trump has suspended all travel from China.,Refuted,Conflicting Evidence/Cherrypicking
149,They [the Democrats] want to ... ban fracking.,Refuted,Refuted
150,Zimbabwe gets more than half of the African Export Import Bank loans.,Supported,Refuted
151,The Democrats want to shut down U.S. churches permanently.,Refuted,Refuted
152,"Over thirty million people... in the last several months had to file for unemployment.""",Refuted,Supported
153,President Trump and I have a plan to improve healthcare and protect pre-existing conditions for every American.,Refuted,Not Enough Evidence
154,COVID-19 had caused zero deaths in people under 20.,Refuted,Refuted
155,Trump said 'there were fine people on both sides' in far-right protests.,Supported,Supported
156,"Vice president of the U.S Mike Pence said “When Joe Biden was vice president of the United States, the FBI actually spied on President Trump and my campaign.”",Refuted,Supported
157,Richard A. Rothschild filed a patent for novel coronavirus tests in 2015.,Refuted,Refuted
158,"US President Donald Trump following his positive diagnosis of COVID-19, was given treatment developed from the use of fetal tissue, made by the company Regeneron.",Refuted,Supported
159,U.S. mortalities this year are not materially different from the previous 5 years,"<question>
What is the average number of deaths per year in the US?
<answer>
In 2017, the estimated deaths in the United States was 2,744,000.

<question>
How did the number of deaths from violence change between 2018 and 2019 in the United States?
<answer>
There were 39,383 deaths in 2019, compared to 39,736 in 2018.

<question>
How many deaths were there in the US in 2019?
<answer>
There were 2,808,694 deaths in the United States in 2019.

label:",Refuted
160,President Donald  J Trump said it [coronavirus] was a hoax.,Refuted,Refuted
161,Documents show the CIA made a referral to the FBI documenting the allegation that U.S. Presidential candidate Hillary Clinton had approved a campaign plan to stir up a scandal against U.S. Presidential candidate Donald Trump by tying him to Putin and the Russians’ hacking of the Democratic National Committee.,Refuted,Supported
162,The Democratic party has spent the last three and a half years trying to overturn the results of the last US election.,Refuted,Refuted
163,"The content of the conspiracy network, Radio Quebec, hosted by Alexis Cossette-Trudel is banned by Facebook.",Refuted,Supported
164,OPCW scenario of the Navalny case is a fantastic story and a planned conspiracy scenario,Refuted,Refuted
165,In 1977 Senate Minority Leader Chuck Schumer had an affair with his daughter best friend from high school.,Refuted,Refuted
166,49 percent of Nigerians are in extreme poverty.,Supported,Refuted
167,"During the Obama/Biden administration, 18,000 people got clemency.",Supported,Refuted
168,People in the UK who are required to self-isolate due to having tested positive for the COVID-19 virus will receive a support payment of £500 per week,Refuted,Refuted
169,A Congressman Just Introduced A Bill To Remove Nancy Pelosi From The House.,Refuted,Refuted
170,U.S. President Donald Trump has departed Walter Reed hospital just a few days after testing positive for COVID-19.,Refuted,Supported
171,All students in India who had to switch to an online mode of education due to the coronavirus pandemic are being provided free Android smartphones by the government.,Supported,Refuted
172,Oxygen deprivation is caused by wearing face masks.,Refuted,Refuted
173,Carbon dioxide intoxication is caused by wearing face masks.,Supported,Refuted
174,"Wearing face masks leads to permanent neurological damage, especially in children.","<question>
What is the evidence for the claim that wearing face masks leads to permanent neurological damage, especially in children?
<answer>
There is no evidence that wearing face masks leads to permanent neurological damage, especially in children.

label:",Refuted
175,“Wisconsin Republicans have not passed a single bill in 6 months.”,Refuted,Supported
176,Tax avoidance costs £90 billion per year.,Refuted,Refuted
177,President Trump is not on supplemental oxygen.,Refuted,Refuted
178,The PLAAF has shot down an Indian Sukhoi Su-30 fighter jet in Tibet.,Refuted,Refuted
179,Senate President Vicente Sotto III claimed that hardheaded Filipinos are to blame for the cases of coronavirus disease 2019 (COVID-19) in the country,Refuted,Refuted
180,"Dr. Ebeneezer, a medical doctor and a herbal practitioner at the Amuzu Hospital has instructed men to have sex at least 21 times a month to avoid prostate cancer.",Refuted,Refuted
181,The ex-Prime Minister of India Lal Bahadur Shastri took a loan to buy a car.,Refuted,Supported
182,President Trump announces  he has tested positive for Covid-19.,Supported,Supported
183,"Mexico on a ""red alert"" with children being targeted for kidnapping so their organs can be harvested",Refuted,Not Enough Evidence
184,The wife of  Lal Bahadur Shastri (ex Prime minister of India) repaid his car loan after his death.,Refuted,Supported
185,President Trump's positive COVID-19 test result is a 'con',Supported,Refuted
186,A picture of a man with UP Chief Minister Yogi Adityanath shared with a claim that he is the father of rape accused Sandeep Thakur in the Hathras case.,Refuted,Not Enough Evidence
187,"US President Donald Trump's positive COVID-19 result is a false positive, which could allow an adversary in the White House to poison the president’s soda and later say that he suffered from COVID-19.",Refuted,Refuted
188,"The Democrats deliberately spread the COVID-19 virus to US President Donald Trump  during the first  US presidential debate on Sept. 29, 2020.",Refuted,Refuted
189,During a speech on 2nd October 2020 Joe Biden said he would create 550 million new jobs.,Refuted,Refuted
190,US President Donald Trump used a fabricated COVID-19 positive diagnosis to benefit his re election campaign.,Refuted,Refuted
191,Flu shots lead to severe or life-threatening conditions making them unsafe.,Refuted,Refuted
192,It makes no sense for oil to be cheaper in Nigeria than in Saudi Arabia.,Supported,Not Enough Evidence
193,Two E-6B Mercury planes were deployed because of US President Trump's positive COVID-19 test.,Supported,Refuted
194,"At independence, Nigeria had a population of 45 million",Supported,Supported
195,"Today, we grapple with multiple challenges with a population exceeding 200 million.",Supported,Supported
196,Video shared to make misleading claim that Hathras victim’s family did her last rites,Refuted,Refuted
197,Trade relations between the United States and Africa have declined significantly while Donald Trump was president of the US.,Refuted,Supported
198,"Today, Nigeria grapple has a population exceeding 200 million.",Supported,Supported
199,"For a cumulative 29 of Nigeria's 60 years of existence as a nation, Nigeria has been under military rule.",Supported,Supported
200,Other Countries Have Proved that the U.S. FDA Was Wrong to Withdraw Approval Of Hydroxychloroquine as COVID Drug,"<question>
What did the FDA say about the use of hydroxychloroquine to treat COVID-19?
<answer>
On April 1, 2020, the FDA announced that it had approved an emergency use authorization (eua) for chloroquine phosphate and hydroxychloroquine sulfate for the prevention and treatment of covid-19 in patients admitted to the hospital with severe symptoms. The eua was granted on the basis of the results of a small clinical trial that showed that hydroxychloroquine reduced the need for hospitalization and death among patients with mild to moderate symptoms.

<question>
What has the FDA done to address the shortage of Hydroxychloroquine?
<answer>
On April",Refuted
201,"U.S. President Donald Trump and his wife, First Lady Melania Trump, have tested positive for COVID-19",Supported,Supported
202,"For a cumulative 29 of our 60 years of existence as a nation, we have been under military rule.",Refuted,Supported
203,Nigeria’s urban population at independence was approximately 7 million.,Refuted,Supported
204,"At independence, Nigeria had a population of 45 million.",Supported,Supported
205,Nigeria’s urban population at independence was approximately 7 million.,Supported,Supported
206,There has been a 60% drop in government revenue in Nigeria.,Refuted,Not Enough Evidence
207,"At independence, Nigeria had a population of 45 million.",Refuted,Supported
208,It makes no sense for oil to be cheaper in Nigeria than in Saudi Arabia.,Supported,Not Enough Evidence
209,Nigeria has seen a 60% drop in government revenue,Supported,Not Enough Evidence
210,There was a 40% drop in oil prices in Nigeria.,Refuted,Not Enough Evidence
211,"At independence, Nigeria had a population of 45 million.",Refuted,Supported
212,"For a cumulative 29 of our 60 years of existence as a nation, we have been under military rule.",Supported,Supported
213,"For a cumulative 29 of Nigeria's 60 years of existence as a nation, they have been under military rule",Refuted,Supported
214,52% of Nigeria’s current population lives in urban areas,Refuted,Supported
215,52% of Nigeria’s current population lives in urban areas.,Supported,Supported
216,52% of Nigeria’s current population lives in urban areas,Supported,Supported
